PBR,PER,ROE,매출액,배당수익율,부채비율,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
,,,,,,,,코스닥,,인피니트헬스케어,"""071200""",,"5,370"
,,,,,,,,코스닥,,일승,"""333430""",,"2,875"
,,,,,,,,코스닥,,일신바이오,"""068330""",,"1,941"
,,,,,,,,코스닥,,제이스텍,"""090470""",,"8,790"
,,,,,,,,코스닥,,제노코,"""361390""",,"22,950"
,,,,,,,,코스닥,,제이아이테크,"""417500""",,"17,180"
,,,,,,,,코스닥,,줌인터넷,"""239340""",,"3,610"
,,,,,,,,코스닥,,중앙백신,"""072020""",,"10,490"
,,,,,,,,코스닥,,지니너스,"""389030""",,"2,200"
,,,,,,,,코스닥,,진바이오텍,"""086060""",,"4,300"
,,,,,,,,코스닥,,진시스템,"""363250""",,"17,990"
,,,,,,,,코스닥,,진양제약,"""007370""",,"6,070"
,,,,,,,,코스닥,,초록뱀미디어,"""047820""",,"9,020"
,,,,,,,,코스닥,,카스,"""016920""",,"1,635"
,,,,,,,,코스닥,,케이디켐,"""221980""",,"13,820"
,,,,,,,,코스닥,,케이비제22호스팩,"""436530""",,"2,090"
,,,,,,,,코스닥,,케이에스피,"""073010""",,"1,859"
,,,,,,,,코스닥,,케이엠제약,"""225430""",,"1,277"
,,,,,,,,코스닥,,케이티알파,"""036030""",,"6,090"
,,,,,,,,코스닥,,코다코,"""046070""",,"1,135"
,,,,,,,,코스닥,,코텍,"""052330""",,"9,440"
,,,,,,,,코스닥,,큐로홀딩스,"""051780""",,412
,,,,,,,,코스닥,,큐리언트,"""115180""",,"11,740"
,,,,,,,,코스닥,,크리스탈신소재,"""900250""",,"1,640"
,,,,,,,,코스닥,,크리스탈지노믹스,"""083790""",,"3,150"
,,,,,,,,코스닥,,크린앤사이언스,"""045520""",,"7,270"
,,,,,,,,코스닥,,클래시스,"""214150""",,"24,800"
,,,,,,,,코스닥,,테라젠이텍스,"""066700""",,"5,310"
,,,,,,,,코스닥,,테크엘,"""064520""",,"6,880"
,,,,,,,,코스닥,,투비소프트,"""079970""",,"1,119"
,,,,,,,,코스닥,,팅크웨어,"""084730""",,"13,740"
,,,,,,,,코스닥,,파마리서치,"""214450""",,"101,800"
,,,,,,,,코스닥,,파인테크닉스,"""106240""",,"2,230"
,,,,,,,,코스닥,,팜스토리,"""027710""",,"1,898"
,,,,,,,,코스닥,,포바이포,"""389140""",,"13,060"
